Title,Author,Work_Type,Priority,Status,Specificity,Category,Dimension,SWEBOK_or_Primary_KA,BOK_or_Framework_Anchor,Zachman_Focus,Bloom_Level,Cynefin_Domain,Abstraction_Level,Time_Horizon,Knowledge_Type,Activation_Style,Best_Representation,RAG_Suitability,Ontology_Suitability,Policy_or_LoRA_Suitability,Primary_Agent_Role,Failure_Modes_Addressed,Canonical_Concepts_or_Triggers,Why_It_Belongs,ISBN_13_or_Edition_Note,Acquisition_Note,Critique_Dimension
Observability Engineering,Charity Majors; Liz Fong-Jones; George Miranda,Book,High,Add,General,Observability,Operations,Software Quality / Operations,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Observability Agent,opaque production failure,Operations,"Modern observability, production debugging, telemetry, and socio-technical feedback.",9781492076445,ISBN best-effort; verify edition before acquisition,Operations / Observability
Security Engineering,Ross Anderson,Book,High,Keep,General,Security,Security Engineering,Software Quality / Security,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated,System / Platform,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,Security Agent,security breach / weak threat model,Security Engineering,"Broad systems security, threat models, economics, and engineering practice.",9781119642787,ISBN best-effort; verify edition before acquisition,Security Engineering / Security
Accessibility for Everyone,Laura Kalbag,Book,High,Add,General,Accessibility,Accessibility,Software Quality / UX,NIST/OWASP/WCAG,How; Who,Analyse / Evaluate / Create,Clear / Complicated,Product / User,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Medium,High,Accessibility Critic,accessibility exclusion; cognitive overload / team coupling,Accessibility,"Lightweight accessibility literacy for designers, developers, and product teams.",9781937557409,Verify edition before acquisition,Accessibility / UX
Web Content Accessibility Guidelines,W3C,Standard / Web Reference,High,Add,General,Accessibility,Accessibility Standard,Software Quality / UX,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Long-term / Strategic,Mechanistic / Factual; Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow + RAG,High,High,Medium,Accessibility Verification Agent,accessibility exclusion,perceivable; operable; understandable; robust,Canonical web accessibility standard for enterprise web/apps; essential for compliance and UI quality.,Online standard,Use latest W3C/WCAG version,Accessibility Standard
Mastering the Requirements Process,Suzanne Robertson; James Robertson,Book,High,Keep,General,Requirements,Requirements Engineering,Software Requirements,BABOK,What; How; Who,Apply / Analyse,Complicated,Product / User,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Medium,Medium,Requirements Agent,wrong problem / ambiguous requirements,Requirements Engineering,"Stakeholder discovery, scope, and structured requirements process.",9780321815743,ISBN best-effort; verify edition before acquisition,Requirements Engineering / Requirements
Software Requirements,Karl Wiegers; Joy Beatty,Book,High,Keep,General,Requirements,Requirements Engineering,Software Requirements,BABOK,What,Apply / Analyse,Complicated,Product / User,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Medium,Medium,Requirements Agent,wrong problem / ambiguous requirements,Requirements Engineering,"Requirements elicitation, specification, prioritisation, and validation.",9780735679665,ISBN best-effort; verify edition before acquisition,Requirements Engineering / Requirements
The Personal MBA,Josh Kaufman,Book,Medium,Add,General,Business Literacy,Business Fundamentals,Business Context,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Business / Market,Long-term / Strategic,Mechanistic / Factual; Heuristic / Policy; Cultural / Cognitive,Deep retrieval on demand,Policy + RAG,High,Low,High,Business Literacy Agent,poor acquisition / attribution gaps; CRM/process mismatch; cost blindness / reporting gaps; reasoning bias,Business Fundamentals,"Compact literacy across marketing, sales, finance, operations, and systems.",9781591845577,ISBN best-effort; verify edition before acquisition,Business Fundamentals / Business Literacy
Accounting Made Simple,Mike Piper,Book,Medium,Add,General,Finance / Accounting,Accounting Literacy,Business Context,None / informal canon,How; Why,Analyse / Evaluate / Create,Clear / Complicated,Business / Market,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,Medium,Medium,Medium,Accounting Literacy Agent,cost blindness / reporting gaps; scaling-pattern gaps,Accounting Literacy,"Minimal accounting literacy: ledgers, statements, reconciliation, reporting, and audit implications for system design.",9780981454221,Verify edition before acquisition,Accounting / Finance Literacy
Hacking Growth,Sean Ellis; Morgan Brown,Book,Medium,Add,General,Marketing / Growth,Growth Experimentation,Business Context,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Business / Market,Medium-term / Delivery,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Policy + Workflow + Metrics,Medium,Medium,High,Growth Experiment Agent,poor acquisition / attribution gaps,Growth Experimentation,"Growth loops, funnels, experimentation systems, analytics, and product-led growth literacy.",9780451497215,Verify edition before acquisition,Marketing / Growth / Analytics
Traction,Gabriel Weinberg; Justin Mares,Book,Medium,Add,General,Marketing / Growth,Growth Channels,Business Context,None / informal canon,How; Why,Analyse / Evaluate / Create,Complex,Business / Market,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,Medium,Medium,High,Growth / Martech Agent,brittle integration / coupling; poor acquisition / attribution gaps,Growth Channels,Practical acquisition-channel model and growth-channel literacy for product/enterprise integration decisions.,9780241242537,Verify edition before acquisition,Marketing / Growth
Crossing the Chasm,Geoffrey Moore,Book,Medium,Add,General,Product Marketing,Go-to-market,Business Context,None / informal canon,When; Why,Analyse / Evaluate / Create,Complex,Product / User,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,GTM Agent,poor acquisition / attribution gaps,Go-to-market,Technology adoption lifecycle and B2B product-market transition.,9780062292988,ISBN best-effort; verify edition before acquisition,Go-to-market / Product Marketing
Obviously Awesome,April Dunford,Book,Medium,Add,General,Product Marketing,Positioning,Business Context,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Product / User,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Positioning Agent,poor acquisition / attribution gaps,Positioning,Product positioning and market framing.,9781999023003,ISBN best-effort; verify edition before acquisition,Positioning / Product Marketing
Algorithms,Robert Sedgewick; Kevin Wayne,Book,Medium,Keep,General,Computer Science,Algorithms,Computing Foundations,None / informal canon,What; How,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Algorithms Agent,general poor judgement / missing context,Algorithms,Practical algorithms and data structures treatment.,9780321573513,ISBN best-effort; verify edition before acquisition,Algorithms / Computer Science
"Compilers: Principles, Techniques, and Tools",Aho; Lam; Sethi; Ullman,Book,Medium,Keep,Specialist,Computer Science,Compilers,Computing Foundations,None / informal canon,How,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Immediate / Tactical,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Language / Compiler Agent,general poor judgement / missing context,Compilers,"Compiler theory, parsing, optimisation, and language implementation.",9780321486813,ISBN best-effort; verify edition before acquisition,Compilers / Computer Science
Computer Architecture: A Quantitative Approach,John Hennessy; David Patterson,Book,Medium,Keep,Specialist,Computer Science,Computer Architecture,Computing Foundations,None / informal canon,How,Analyse / Evaluate / Create,Complicated,Substrate / Machine / Runtime,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Performance / Hardware Agent,coupling / poor boundaries; bottleneck / capacity failure,Computer Architecture,Advanced quantitative architecture and performance trade-offs.,9780128119051,ISBN best-effort; verify edition before acquisition,Computer Architecture / Computer Science
Distributed Systems,Andrew S. Tanenbaum; Maarten van Steen,Book,Medium,Keep,General,Computer Science,Distributed Systems,Computing Foundations,None / informal canon,Where,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Distributed Systems Agent,reasoning bias,Distributed Systems,Academic distributed systems fundamentals.,9781543057386,ISBN best-effort; verify edition before acquisition,Distributed Systems / Computer Science
Java Concurrency in Practice,Brian Goetz et al.,Book,Medium,Keep,Specific,Concurrency,Concurrency,Computing Foundations,None / informal canon,How,Understand / Analyse,Complicated / Complex,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Concurrency Agent,general poor judgement / missing context,Concurrency,Practical Java concurrency and memory model.,9780321349606,ISBN best-effort; verify edition before acquisition,Concurrency / Concurrency
The Art of Multiprocessor Programming,Maurice Herlihy; Nir Shavit,Book,Medium,Keep,Specialist,Concurrency,Concurrency,Computing Foundations,None / informal canon,How,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Concurrency Agent,general poor judgement / missing context,Concurrency,Concurrent algorithms and multiprocessor reasoning.,9780123973375,ISBN best-effort; verify edition before acquisition,Concurrency / Concurrency
Designing Distributed Systems,Brendan Burns,Book,Medium,Add,Specific,Distributed Systems,Distributed Design Patterns,Computing Foundations,None / informal canon,How; Where,Analyse / Evaluate / Create,Complicated,System / Platform,Cross-horizon,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,RAG + Ontology,High,High,Medium,Distributed Pattern Agent,general poor judgement / missing context,Distributed Design Patterns,Kubernetes-oriented reusable distributed system patterns.,9781491983645,Verify edition before acquisition,Distributed System Patterns
Understanding Distributed Systems,Roberto Vitillo,Book,Medium,Add,General,Distributed Systems,Distributed Systems,Computing Foundations,None / informal canon,Where,Understand / Analyse,Complicated,System / Platform,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Distributed Systems Agent,reasoning bias,Distributed Systems,Accessible modern distributed systems fundamentals.,9781838430207,ISBN best-effort; verify edition before acquisition,Distributed Systems / Distributed Systems
Internetworking with TCP/IP Volume 1,Douglas Comer,Book,Medium,Add,General,Networking,TCP/IP Fundamentals,Computing Foundations,None / informal canon,How; Where,Analyse / Evaluate / Create,Complicated,Substrate / Machine / Runtime,Medium-term / Delivery,Mechanistic / Factual; Cultural / Cognitive,Deep retrieval on demand,RAG,High,Low,Low,Networking Agent,coupling / poor boundaries; latency / protocol misunderstanding; reasoning bias,TCP/IP Fundamentals,Classic TCP/IP and internet architecture reference.,9780136085300,ISBN best-effort; verify edition before acquisition,TCP/IP Fundamentals / Networking
HTTP: The Definitive Guide,David Gourley; Brian Totty,Book,Medium,Add,Specific,Networking / Web,HTTP,Computing Foundations,None / informal canon,Where,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Web Protocol Agent,latency / protocol misunderstanding,HTTP,HTTP internals and web protocol behaviour.,9781565925090,ISBN best-effort; verify edition before acquisition,HTTP / Networking / Web
Effective Java,Joshua Bloch,Book,Medium,Keep,Specific,Programming Languages,Language Practice,Computing Foundations,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Java Quality Agent,general poor judgement / missing context,Language Practice,Java API design and idiomatic effective practice.,9780134685991,ISBN best-effort; verify edition before acquisition,Language Practice / Programming Languages
The C Programming Language,Brian Kernighan; Dennis Ritchie,Book,Medium,Keep,Specific,Programming Languages,Language Foundations,Computing Foundations,None / informal canon,How,Understand / Analyse,Complicated / Complex,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Language Foundations Agent,general poor judgement / missing context,Language Foundations,Canonical C language and systems programming idioms.,9780131103627,ISBN best-effort; verify edition before acquisition,Language Foundations / Programming Languages
Build a Large Language Model From Scratch,Sebastian Raschka,Book,Medium,Add,Specific / current,LLMs,LLM Fundamentals,Computing Foundations / AI,None / informal canon,How,Analyse / Evaluate / Create,Complicated,Human / Cultural,Immediate / Tactical,Mechanistic / Factual; Cultural / Cognitive,Deep retrieval on demand,RAG,High,Low,Low,LLM Implementation Agent,coupling / poor boundaries; reasoning bias,LLM Fundamentals,Hands-on LLM architecture and implementation fundamentals.,9781633437166,ISBN best-effort; verify edition before acquisition,LLM Fundamentals / LLMs
Machine Learning Engineering,Andriy Burkov,Book,Medium,Add,General,ML Systems,ML Engineering,Computing Foundations / AI,None / informal canon,When,Apply / Analyse,Complicated,Cross-layer,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,RAG + Workflow,High,Low,Medium,ML Engineering Agent,schedule fantasy / governance failure,ML Engineering,Practical ML project lifecycle and production considerations.,9781999579579,ISBN best-effort; verify edition before acquisition,ML Engineering / ML Systems
Deep Learning,Ian Goodfellow; Yoshua Bengio; Aaron Courville,Book,Medium,Add,Specialist,Machine Learning,Deep Learning,Computing Foundations / AI,None / informal canon,How,Understand / Analyse,Complicated / Complex,Cross-layer,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,ML Agent,general poor judgement / missing context,Deep Learning,Canonical deep learning theory and methods.,9780262035613,ISBN best-effort; verify edition before acquisition,Deep Learning / Machine Learning
Pattern Recognition and Machine Learning,Christopher Bishop,Book,Medium,Add,Specialist,Machine Learning,ML Fundamentals,Computing Foundations / AI,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Mechanistic / Factual; Cultural / Cognitive,Deep retrieval on demand,RAG,High,Low,Low,ML Agent,reasoning bias,ML Fundamentals,Probabilistic machine learning foundations.,9780387310732,ISBN best-effort; verify edition before acquisition,ML Fundamentals / Machine Learning
Streaming Systems,Tyler Akidau; Slava Chernyak; Reuven Lax,Book,Medium,Add,Specific,Data Systems,Streaming / Event Time,Computing Foundations / Data Management,None / informal canon,What; How; When,Understand / Analyse,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Medium,Low,Streaming Systems Agent,coupling / poor boundaries,Streaming / Event Time,"Event-time processing, stream semantics, windowing, and modern streaming architecture.",9781491983874,Verify edition before acquisition,Streaming / Event Systems
Readings in Database Systems,Michael Stonebraker; Joseph Hellerstein,Book,Medium,Add,Specific,Databases,Database Research,Computing Foundations / Data Management,None / informal canon,What,Understand / Analyse,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Database Research Agent,data inconsistency / poor persistence design,Database Research,Curated classic papers in database systems.,Varies / edition dependent,Must verify edition/ISBN before purchase,Database Research / Databases
SQL Performance Explained,Markus Winand,Book,Medium,Add,Specific,Databases,SQL Performance,Computing Foundations / Data Management,None / informal canon,What,Understand / Analyse,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Performance / DB Agent,data inconsistency / poor persistence design; bottleneck / capacity failure,SQL Performance,Practical indexing and query performance thinking.,9783950307825,ISBN best-effort; verify edition before acquisition,SQL Performance / Databases
The E-Myth Revisited,Michael Gerber,Book,Medium,Keep,General,Business Systems,Business Process,Cross-cutting / Other,None / informal canon,How; Why,Analyse / Evaluate / Create,Complicated / Complex,Business / Market,Long-term / Strategic,Structural / Ontological; Heuristic / Policy,Structural retrieval / coverage check,Policy + Ontology,Medium,High,High,Business Systems Agent,general poor judgement / missing context,Business Process,Technician/manager/entrepreneur split and repeatable process design.,9780887307287,ISBN best-effort; verify edition before acquisition,Business Process / Business Systems
Specification by Example,Gojko Adzic,Book,Medium,Add,General,Requirements / Testing,Executable Specification,Cross-cutting / Other,BABOK,What,Apply / Analyse,Complicated,Code / Component,Immediate / Tactical,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Low,Medium,Specification / Test Agent,wrong problem / ambiguous requirements; regression / weak feedback loop,Executable Specification,"Collaborative examples, acceptance tests, and living documentation.",9781617290084,ISBN best-effort; verify edition before acquisition,Executable Specification / Requirements / Testing
Observing the User Experience,Mike Kuniavsky; Elizabeth Goodman; Andrea Moed,Book,Medium,Add,General,UX Research,User Research,Cross-cutting / Other,None / informal canon,Who,Apply / Analyse,Complex,Product / User,Cross-horizon,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Low,Medium,UX Research Agent,poor usability / user mismatch,User Research,UX research methods and practical user observation.,9780123848697,ISBN best-effort; verify edition before acquisition,User Research / UX Research
Data Modeling Made Simple,Steve Hoberman,Book,Medium,Add,General,Data Architecture,Data Modelling,Data Management,DMBOK,What; How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,High,High,Low,Data Modelling Agent,coupling / poor boundaries,Data Modelling,Practical data modelling literacy for enterprise systems.,9780977140066,ISBN best-effort; verify edition before acquisition,Data Modelling / Data Architecture
The Data Warehouse Toolkit,Ralph Kimball; Margy Ross,Book,Medium,Add,Specific,Data Architecture,Analytics / Warehousing,Data Management,DMBOK,What; How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,High,High,Low,Analytics Architecture Agent,coupling / poor boundaries,Analytics / Warehousing,Dimensional modelling and warehouse design.,9781118530801,ISBN best-effort; verify edition before acquisition,Analytics / Warehousing / Data Architecture
DMBOK,DAMA International,Book,Medium,Add,General,Data Governance,Data Governance,Data Management,DMBOK,What; When,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Long-term / Strategic,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,Ontology + RAG,Medium,High,Medium,Data Governance Agent,general poor judgement / missing context,data governance; metadata; stewardship; data quality,"Enterprise data governance, metadata, stewardship, lifecycle, and information management literacy.",9781634622349,ISBN best-effort; verify edition before acquisition,Data Governance
BIZBOK Guide,Business Architecture Guild,Book,Medium,Add,General,Business Architecture,Capabilities / Value Streams,Enterprise / Business Architecture,BIZBOK,How; Why,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,Medium,High,Medium,Business Capability Agent,coupling / poor boundaries,Capabilities / Value Streams,"Capability maps, value streams, and business architecture structure aligned with enterprise operating models.",Edition dependent,Verify edition before acquisition,Business Architecture
Community Building on the Web,Amy Jo Kim,Book,Medium,Add,General,Online Communities,Community Design,Human and Social Aspects,None / informal canon,How; Who,Analyse / Evaluate / Create,Complex,Product / User,Cross-horizon,Mechanistic / Factual; Heuristic / Policy; Cultural / Cognitive,Deep retrieval on demand,Policy + RAG,Medium,Medium,High,Community Design Agent,social-system failure,Community Design,"Canonical early treatment of online community design, participation, roles, and norms.",9780201874846,Older but conceptually useful; verify edition/source,Online Community Design
Here Comes Everybody,Clay Shirky,Book,Medium,Add,General,Online Communities,Online Coordination,Human and Social Aspects,None / informal canon,Who,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Low,Medium,High,Community / Collaboration Agent,general poor judgement / missing context,Online Coordination,"Online coordination, group behaviour, user-generated systems, and internet-scale collaboration.",9780143114949,Verify edition before acquisition,Online Communities
Poor Charlie's Almanack,Charlie Munger,Book,Medium,Keep,General,Decision Making,Mental Models,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy; Cultural / Cognitive,Triggered heuristic / critique lens,Policy,Medium,Low,High,Mental Models Agent,reasoning bias,inversion; incentives; latticework of mental models,"Inversion, multidisciplinary mental models, incentives, and judgement.",9781578645010,ISBN best-effort; verify edition before acquisition,Mental Models / Decision Making
Superforecasting,Philip Tetlock; Dan Gardner,Book,Medium,Add,General,Decision Making,Forecasting,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy; Cultural / Cognitive,Continuous background prior,Policy + Metrics,Medium,Low,High,Forecasting Agent,general poor judgement / missing context,Forecasting,"Forecasting, calibration, probabilistic judgement, and belief updates.",9780804136716,ISBN best-effort; verify edition before acquisition,Forecasting / Decision Making
Thinking in Bets,Annie Duke,Book,Medium,Add,General,Decision Making,Uncertainty,Professional Practice,None / informal canon,Why,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy; Cultural / Cognitive,Continuous background prior,Policy,Medium,Low,High,Decision Agent,general poor judgement / missing context,Uncertainty,Decision quality under uncertainty and outcome/resulting separation.,9780735216358,ISBN best-effort; verify edition before acquisition,Uncertainty / Decision Making
"Thinking, Fast and Slow",Daniel Kahneman,Book,Medium,Add,General,Decision Making,Cognitive Bias,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy; Cultural / Cognitive,Continuous background prior,Policy,Medium,Low,High,Bias Critic,general poor judgement / missing context,Cognitive Bias,"Human judgement, bias, and decision errors.",9780374533557,ISBN best-effort; verify edition before acquisition,Cognitive Bias / Decision Making
More Joel on Software,Joel Spolsky,Book,Medium,Add,General,Engineering Culture,Software Judgement,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy; Cultural / Cognitive,Deep retrieval on demand,Policy + RAG,High,Low,High,Pragmatic Engineering Agent,general poor judgement / missing context,Software Judgement,"Further essays on software practice, management, and product thinking.",9781430209874,ISBN best-effort; verify edition before acquisition,Software Judgement / Engineering Culture
Hacker Laws,David W. Kerr et al.,Standard / Web Reference,Medium,Add,General,Engineering Heuristics,Laws / Aphorisms,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Cross-horizon,Structural / Ontological,Triggered heuristic / critique lens,Symbolic Trigger List + Ontology,Medium,High,High,Heuristic Trigger Agent,general poor judgement / missing context,Laws / Aphorisms,Curated software and systems laws useful as compact activation triggers for critique and reasoning.,Online repository,Use current GitHub repository; verify licence,Heuristic Laws / Trigger Index
The Great Mental Models,Shane Parrish; Rhiannon Beaubien,Book,Medium,Add,General,Mental Models,Mental Models,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy; Cultural / Cognitive,Triggered heuristic / critique lens,Policy,Low,Medium,High,Mental Models Agent,reasoning bias,Mental Models,Curated cross-domain reasoning models; useful for critique and decision activation.,9781999449001,Verify edition before acquisition,Mental Models / Reasoning
"Growing Object-Oriented Software, Guided by Tests",Steve Freeman; Nat Pryce,Book,Medium,Add,Specific,Software Engineering,Testing / Design,Software Construction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Immediate / Tactical,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,TDD Design Agent,regression / weak feedback loop,Testing / Design,"London-school TDD, outside-in design, and interaction testing.",9780321503626,ISBN best-effort; verify edition before acquisition,Testing / Design / Software Engineering
xUnit Test Patterns,Gerard Meszaros,Book,Medium,Add,Specific,Software Engineering,Testing,Software Construction,None / informal canon,How,Apply / Analyse,Complicated,Code / Component,Immediate / Tactical,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Testing Specialist,coupling / poor boundaries; regression / weak feedback loop,Testing,Detailed test architecture and test smell catalogue.,9780131495050,ISBN best-effort; verify edition before acquisition,Testing / Software Engineering
API Design Patterns,JJ Geewax,Book,Medium,Add,Specific,APIs,API Design,Software Design,None / informal canon,How; Where,Analyse / Evaluate / Create,Complicated / Complex,System / Platform,Cross-horizon,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,RAG + Ontology,High,High,Low,API Design Agent,general poor judgement / missing context,API Design,"Modern API design patterns, especially for cloud/service APIs.",9781617295850,ISBN best-effort; verify edition before acquisition,API Design / APIs
REST in Practice,Jim Webber; Savas Parastatidis; Ian Robinson,Book,Medium,Add,Specific,APIs,REST / Integration,Software Design,None / informal canon,How; Where,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,API Design Agent,brittle integration / coupling,REST / Integration,"Practical REST, hypermedia, and distributed integration design.",9780596805821,ISBN best-effort; verify edition before acquisition,REST / Integration / APIs
RESTful Web APIs,Leonard Richardson; Mike Amundsen,Book,Medium,Keep,Specific,APIs,REST / APIs,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,System / Platform,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,API Design Agent,general poor judgement / missing context,REST / APIs,REST API design and hypermedia-oriented interface thinking.,9781449358068,ISBN best-effort; verify edition before acquisition,REST / APIs / APIs
Building Evolutionary Architectures,Neal Ford; Rebecca Parsons; Patrick Kua,Book,Medium,Add,General,Architecture,Evolutionary Architecture,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Policy + Workflow,Medium,Low,High,Architecture Fitness Agent,coupling / poor boundaries,Evolutionary Architecture,Fitness functions and guided architectural evolution.,9781491986363,ISBN best-effort; verify edition before acquisition,Evolutionary Architecture / Architecture
Cloud Native Patterns,Cornelia Davis,Book,Medium,Add,General,Architecture,Cloud-native Patterns,Software Design,None / informal canon,How; Where,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Medium,Medium,Cloud-native Architecture Agent,coupling / poor boundaries,Cloud-native Patterns,"Cloud-native architectural patterns, resilience, scaling, and distributed app design.",9781617294297,Verify edition before acquisition,Cloud-native Architecture
Documenting Software Architectures,Paul Clements et al.,Book,Medium,Add,General,Architecture,Architecture Documentation,Software Design,None / informal canon,How; Who,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,Low,High,Medium,Documentation Agent,coupling / poor boundaries,Architecture Documentation,"Architecture views, documentation structures, and stakeholder communication.",9780321552686,ISBN best-effort; verify edition before acquisition,Architecture Documentation / Architecture
Implementing Domain-Driven Design,Vaughn Vernon,Book,Medium,Add,Specific,Architecture,Domain Modelling,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated,System / Platform,Immediate / Tactical,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,RAG + Ontology,High,High,Low,DDD Implementation Agent,coupling / poor boundaries,Domain Modelling,More implementation-oriented treatment of DDD patterns and bounded contexts.,9780321834577,ISBN best-effort; verify edition before acquisition,Domain Modelling / Architecture
TOGAF Standard,The Open Group,Standard / Web Reference,Medium,Keep,General,Enterprise Architecture,EA Framework / Governance,Software Design,TOGAF / Zachman,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,Low,High,Medium,Enterprise Governance Agent,coupling / poor boundaries,ADM; architecture domains; viewpoints; governance,"Architecture domains, ADM process, viewpoints, and governance structure.",Official standard / edition dependent,Must verify edition/ISBN before purchase,EA Framework / Governance / Enterprise Architecture
